strategy_label,sample,cost_bps,funding_estimator,funding_lookback_events,basis_convergence_horizon_events,open_threshold,close_threshold,is_final_rule,sample_start,sample_end,n_periods,annual_return,annual_volatility,sharpe,total_return,max_drawdown,mean_turnover,mean_gross_exposure,active_events
"median funding 42 events, basis horizon 10, entry 0.00015",train_2020_2023,20,median,42,10,0.00015,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.060530327053358146,0.021922644320894583,2.7610869458693172,0.2727915198106494,-0.03279608474906803,0.014280564329502081,0.9897283725176901,4336
"median funding 42 events, basis horizon 10, entry 0.00015",forward_2024_onward,20,median,42,10,0.00015,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.02350106654298243,0.005536580621061491,4.244689665239036,0.059869041624976305,-0.009613307920433911,0.006748244299677344,1.0,2711
"median funding 42 events, basis horizon 10, entry 0.00020",train_2020_2023,20,median,42,10,0.0002,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.0677877764825937,0.022130771845272294,3.063055231716869,0.3102643729719887,-0.03214004916310864,0.011478593201403422,0.9876740470212281,4327
"median funding 42 events, basis horizon 10, entry 0.00020",forward_2024_onward,20,median,42,10,0.0002,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.030869950224621256,0.005613735532905792,5.499003300684935,0.07938098574891495,-0.003849829747305411,0.003954444506523926,1.0,2711
"median funding 42 events, basis horizon 10, entry 0.00025",train_2020_2023,20,median,42,10,0.00025,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06852620372924317,0.02261005298879265,3.030784747086185,0.31408451170114726,-0.030743252130984056,0.011517107315138922,0.9687286007760785,4244
"median funding 42 events, basis horizon 10, entry 0.00025",forward_2024_onward,20,median,42,10,0.00025,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03200548001629918,0.005681021851210649,5.63375407709067,0.08241866302987777,-0.005622606182673295,0.003500334527379487,1.0,2711
"median funding 42 events, basis horizon 10, entry 0.00030",train_2020_2023,20,median,42,10,0.0003,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.0730738959156524,0.02301624883725731,3.1748829460587342,0.3381615832449356,-0.027895463971832513,0.01047631531908557,0.9646199497831546,4226
"median funding 42 events, basis horizon 10, entry 0.00030",forward_2024_onward,20,median,42,10,0.0003,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03238632079833119,0.005704797115897331,5.677032879588569,0.08343934794737673,-0.005622606182670631,0.003355931182421813,1.0,2711
"median funding 42 events, basis horizon 10, entry 0.00035",train_2020_2023,20,median,42,10,0.00035,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06250417383811428,0.02194528995033095,2.848181727358388,0.2828800187211675,-0.02662514687588724,0.010183001397067485,0.685459940652819,3003
"median funding 42 events, basis horizon 10, entry 0.00035",forward_2024_onward,20,median,42,10,0.00035,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.033607443876056305,0.005692615533127919,5.903691138191101,0.08671990582232314,-0.005622606182671186,0.0029960826208026868,1.0,2711
"median funding 42 events, basis horizon 10, entry 0.00040",train_2020_2023,20,median,42,10,0.0004,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.059773411735339156,0.0220563041590495,2.7100375160003707,0.2689283203114876,-0.02932851069561926,0.009659066699495289,0.6468842729970327,2834
"median funding 42 events, basis horizon 10, entry 0.00040",forward_2024_onward,20,median,42,10,0.0004,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03449563183707342,0.005799019196822163,5.948528650496084,0.08911048250831044,-0.005311580239382052,0.0027144220210423373,1.0,2711
"median funding 42 events, basis horizon 10, entry 0.00050",train_2020_2023,20,median,42,10,0.0005,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06274335814969063,0.022922983917279722,2.7371374676223392,0.2839965005941054,-0.02696395824652642,0.007985190294158164,0.6297648938598494,2759
"median funding 42 events, basis horizon 10, entry 0.00050",forward_2024_onward,20,median,42,10,0.0005,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03200536921261308,0.0050739058507986235,6.307836635868104,0.0824271079591381,-0.007738150437336722,0.00355418811328287,0.9184802655846551,2490
"median funding 42 events, basis horizon 14, entry 0.00010",train_2020_2023,20,median,42,14,0.0001,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.05849337933553916,0.021221785282570536,2.756289282767355,0.2625377926469812,-0.03430149741781596,0.01446012292273201,0.9897283725176901,4336
"median funding 42 events, basis horizon 14, entry 0.00010",forward_2024_onward,20,median,42,14,0.0001,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.01853955672116197,0.005246201477593438,3.533901013970688,0.04693386747620654,-0.016392228920990792,0.008760999295149239,1.0,2711
"median funding 42 events, basis horizon 14, entry 0.00015",train_2020_2023,20,median,42,14,0.00015,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06300180463599868,0.022138618834581014,2.845787494998941,0.2854143377788565,-0.034594355294634394,0.012893186262340144,0.9897283725176901,4336
"median funding 42 events, basis horizon 14, entry 0.00015",forward_2024_onward,20,median,42,14,0.00015,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.027581272140426837,0.00566017628597048,4.872864509324698,0.07062777093867223,-0.004861749490393419,0.005048669308398905,1.0,2711
"median funding 42 events, basis horizon 14, entry 0.00020",train_2020_2023,20,median,42,14,0.0002,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06825491816851599,0.022550499134370922,3.02675864342548,0.3126661601350944,-0.03147248718606532,0.011453670983458704,0.9698698927185574,4249
"median funding 42 events, basis horizon 14, entry 0.00020",forward_2024_onward,20,median,42,14,0.0002,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03206787099626076,0.005709015215047574,5.617058247057682,0.0825854424433472,-0.005622606182671963,0.003496821502841011,1.0,2711
"median funding 42 events, basis horizon 14, entry 0.00025",train_2020_2023,20,median,42,14,0.00025,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.0722593945949286,0.022352123826488678,3.2327753351695674,0.3338895002451694,-0.026704990644435878,0.010034798133137218,0.8929468157954805,3912
"median funding 42 events, basis horizon 14, entry 0.00025",forward_2024_onward,20,median,42,14,0.00025,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03217232583239207,0.0056972397686052825,5.647002257071593,0.08286561694555239,-0.005622606182671852,0.003437994481878303,1.0,2711
"median funding 42 events, basis horizon 14, entry 0.00030",train_2020_2023,20,median,42,14,0.0003,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.0595142712296593,0.02199140899957865,2.7062509378457555,0.2676208913220266,-0.03137704165830313,0.010112407632111702,0.6553298333713764,2871
"median funding 42 events, basis horizon 14, entry 0.00030",forward_2024_onward,20,median,42,14,0.0003,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03359033602622372,0.005704775755483331,5.888108045953827,0.08667369323554364,-0.005622606182671297,0.0029964442556816477,1.0,2711
"median funding 42 events, basis horizon 14, entry 0.00035",train_2020_2023,20,median,42,14,0.00035,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.0601535644237404,0.022133264988378826,2.7177899173630418,0.2708513351712023,-0.030067156048750876,0.009417365362489362,0.6457429810545537,2829
"median funding 42 events, basis horizon 14, entry 0.00035",forward_2024_onward,20,median,42,14,0.00035,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03401677931096271,0.005791021056501855,5.8740555385773385,0.08782022568295877,-0.0053115802393834954,0.002772566434542126,1.0,2711
"median funding 42 events, basis horizon 14, entry 0.00040",train_2020_2023,20,median,42,14,0.0004,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06072807851336861,0.022876425562594335,2.654613953880374,0.2736910578780025,-0.02919656417859806,0.00867553789563269,0.6338735448527734,2777
