ts,gross_return,net_return_20bps,spot_price_pnl,perp_price_pnl,funding_pnl,spot_turnover,perp_turnover,total_turnover,gross_exposure
2020-01-01 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-02 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-02 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-02 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-03 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-03 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-03 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-04 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-04 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-04 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-05 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-05 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-05 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-06 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-06 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-06 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-07 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-07 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-07 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-08 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-08 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-08 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-09 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-09 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-09 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-10 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-10 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-10 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-11 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-11 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-11 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-12 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-12 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-12 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-13 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-13 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-13 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-14 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-14 08:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-01-14 16:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
